State,Rating,Flip Status,Median Margin,Dem % chance of winning,GOP % chance of winning
AL,Safe R,FALSE,-34.150918,0,100
AR,Safe R,FALSE,-30.025473,0,100
AZ,Lean D,FALSE,2.254326,61.27163,38.72837
CA,Safe D,FALSE,26.549474,100,0
CO,Likely D,FALSE,8.880078,94.40039,5.59961
CT,Safe D,FALSE,20.762497,100,0
FL,Safe R,FALSE,-9.989114,0.05443,99.94557
GA,Tossup,TRUE,-0.158628,49.20686,50.79314
GA-RUNOFF,Lean D,FALSE,3.78,68.86,31.14
HI,Safe D,FALSE,30.490254,100,0
IA,Safe R,FALSE,-13.401659,0,100
ID,Safe R,FALSE,-37.820489,0,100
IL,Safe D,FALSE,21.884429,100,0
IN,Safe R,FALSE,-20.439824,0,100
KS,Safe R,FALSE,-24.198898,0,100
KY,Safe R,FALSE,-29.201083,0,100
MD,Safe D,FALSE,30.413593,100,0
MO,Safe R,FALSE,-19.395095,0,100
NC,Lean R,FALSE,-2.656357,36.71821,63.28179
ND,Safe R,FALSE,-39.498048,0,100
NH,Lean D,FALSE,4.020696,70.10348,29.89652
NV,Tossup,FALSE,0.162219,50.8111,49.1889
NY,Safe D,FALSE,24.116162,100,0
OH,Lean R,FALSE,-4.855815,25.72093,74.27907
OK,Safe R,FALSE,-24.863381,0,100
OK-S,Safe R,FALSE,-24.354605,0,100
OR,Safe D,FALSE,21.14481,100,0
PA,Tossup,TRUE,0.726263,53.63132,46.36868
SC,Safe R,FALSE,-25.414061,0,100
SD,Safe R,FALSE,-32.004011,0,100
UT,Safe R,FALSE,-9.670707,1.64646,98.35354
VT,Safe D,FALSE,33.545327,100,0
WA,Safe D,FALSE,11.070522,100,0
WI,Lean R,FALSE,-3.206222,33.96889,66.03111