District,Demographics Adjusted Model,D Probability %,Rating
AK00,2.625985433,69.9942451,Lean Democratic
AL01,-58.58518772,0,Safe Republican
AL02,11.87003758,99.10414508,Safe Democratic
AL06,-44.02888875,0,Safe Republican
AL07,35.08771241,100,Safe Democratic
AR01,-49.11496231,0,Safe Republican
AR02,-17.01911744,0.0344090571,Safe Republican
AR03,-24.66254319,0.0000436,Safe Republican
AR04,-43.34184026,0,Safe Republican
AZ01,1.627657229,62.7351781,Lean Democratic
AZ02,-9.478588833,2.927283849,Safe Republican
AZ03,54.35530938,100,Safe Democratic
AZ04,17.65487534,99.97850701,Safe Democratic
AZ05,-15.13226695,0.1272509988,Safe Republican
AZ06,0.6417907406,55.09605294,Tossup
AZ07,37.11069144,100,Safe Democratic
AZ08,-13.368682,0.3835561112,Safe Republican
AZ09,-31.43868854,0.000000018,Safe Republican
CA01,-22.03780216,0.000553462843,Safe Republican
CA02,53.14045746,100,Safe Democratic
CA03,-4.660015286,17.63460048,Likely Republican
CA04,42.07510407,100,Safe Democratic
CA05,-18.80462927,0.008829663812,Safe Republican
CA06,21.54878484,99.99913683,Safe Democratic
CA07,44.56616183,100,Safe Democratic
CA08,60.19427417,100,Safe Democratic
CA09,10.99590013,98.58963467,Safe Democratic
CA10,46.90969692,100,Safe Democratic
CA11,75.24486153,100,Safe Democratic
CA13,2.736018363,70.7471183,Likely Democratic
CA14,43.28049321,100,Safe Democratic
CA15,61.81270246,100,Safe Democratic
CA17,52.35555564,100,Safe Democratic
CA18,40.12017344,100,Safe Democratic
CA19,44.89440328,100,Safe Democratic
CA21,16.32467701,99.9434529,Safe Democratic
CA22,2.888969839,71.79334372,Likely Democratic
CA23,-14.5324791,0.1875857273,Safe Republican
CA24,30.04343626,100,Safe Democratic
CA25,22.99421586,99.99977398,Safe Democratic
CA26,19.46945024,99.99483979,Safe Democratic
CA27,2.336776581,67.95259118,Lean Democratic
CA28,41.86122867,100,Safe Democratic
CA29,50.60168737,100,Safe Democratic
CA30,50.05354781,100,Safe Democratic
CA31,34.76757308,100,Safe Democratic
CA32,43.57439764,100,Safe Democratic
CA33,23.84124901,100,Safe Democratic
CA35,22.70251818,99.99970189,Safe Democratic
CA36,49.17899898,100,Safe Democratic
CA37,88.02436616,100,Safe Democratic
CA38,24.88244873,100,Safe Democratic
CA39,23.81607558,99.9998982,Safe Democratic
CA40,-4.039888335,21.02067798,Likely Republican
CA41,1.554728911,62.18489176,Lean Democratic
CA42,47.46647256,100,Safe Democratic
CA43,64.78870327,100,Safe Democratic
CA44,51.0013521,100,Safe Democratic
CA45,1.204811227,59.50403337,Tossup
CA46,30.33983627,100,Safe Democratic
CA47,8.261906052,95.044296,Safe Democratic
CA48,-15.37203354,0.1078522467,Safe Republican
CA49,12.57885289,99.39849258,Safe Democratic
CA50,31.98395751,100,Safe Democratic
CA51,31.55437104,100,Safe Democratic
CA52,38.34544963,100,Safe Democratic
CO01,69.80269456,100,Safe Democratic
CO02,48.32177065,100,Safe Democratic
CO03,-4.976414725,16.04811888,Likely Republican
CO04,-16.31186609,0.05664249387,Safe Republican
CO05,-7.360015535,7.107101851,Likely Republican
CO06,30.76736637,100,Safe Democratic
CO07,23.72295175,99.99988842,Safe Democratic
CO08,6.314204215,89.62516862,Likely Democratic
CT01,34.24234765,100,Safe Democratic
CT02,22.04069101,99.999448,Safe Democratic
CT03,25.0051899,100,Safe Democratic
CT04,33.94173565,100,Safe Democratic
CT05,9.684400435,97.33794315,Safe Democratic
DE00,24.60954763,100,Safe Democratic
FL01,-30.38628468,0.000000068,Safe Republican
FL07,-8.582989261,4.34697853,Safe Republican
FL08,-21.50240005,0.0008999122204,Safe Republican
FL09,17.32515032,99.97251384,Safe Democratic
FL10,35.05254855,100,Safe Democratic
FL11,-15.84115772,0.0790699735,Safe Republican
FL13,-4.545836066,18.20799953,Likely Republican
FL14,22.43612523,99.99961722,Safe Democratic
FL15,-8.133872435,5.226990821,Likely Republican
FL16,-13.34640145,0.3886562719,Safe Republican
FL17,-20.73004008,0.001779873722,Safe Republican
FL19,-26.5446665,0.00000598,Safe Republican
FL21,-16.43952152,0.05215209681,Safe Republican
FL22,19.75907267,99.99593769,Safe Democratic
FL23,16.63026945,99.95445537,Safe Democratic
FL25,20.63416336,99.99806594,Safe Democratic
FL27,-7.32429329,7.20438896,Likely Republican
FL28,-18.66782105,0.009748973939,Safe Republican
GA01,-17.0228321,0.03431608375,Safe Republican
GA02,14.95754428,99.85732323,Safe Democratic
GA03,-31.15828848,0.0000000258,Safe Republican
GA04,65.97648978,100,Safe Democratic
GA05,80.35599092,100,Safe Democratic
GA06,56.223384,100,Safe Democratic
GA07,-20.86440087,0.001583332107,Safe Republican
GA08,-33.42137488,0.00000000132,Safe Republican
GA09,-33.48952323,0.0000000012,Safe Republican
GA10,-24.42807639,0.0000553,Safe Republican
GA11,-24.03231726,0.0000822,Safe Republican
GA12,-15.4341757,0.1041455094,Safe Republican
GA13,54.17889384,100,Safe Democratic
GA14,-34.68370144,0.00000000023,Safe Republican
HI01,42.32497885,100,Safe Democratic
HI02,27.48679042,100,Safe Democratic
IA01,-2.633707414,29.95568878,Likely Republican
IA02,-6.494170961,9.76292098,Likely Republican
IA03,0.1575370977,51.25421345,Tossup
IA04,-32.41101175,0.0000000051,Safe Republican
ID01,-44.02825465,0,Safe Republican
ID02,-25.73900225,0.0000142,Safe Republican
IL01,40.35794781,100,Safe Democratic
IL02,40.87546859,100,Safe Democratic
IL03,46.0169481,100,Safe Democratic
IL04,48.09869685,100,Safe Democratic
IL05,46.68221199,100,Safe Democratic
IL06,15.2617221,99.88317731,Safe Democratic
IL07,81.49294623,100,Safe Democratic
IL08,18.9381115,99.99206241,Safe Democratic
IL09,48.26317581,100,Safe Democratic
IL10,30.44799845,100,Safe Democratic
IL11,18.27935114,99.98678085,Safe Democratic
IL12,-51.96358044,0,Safe Republican
IL13,18.74876375,99.99076969,Safe Democratic
IL14,14.04522113,99.74538742,Safe Democratic
IL17,9.597054495,97.22684862,Safe Democratic
IN01,10.13980155,97.84249156,Safe Democratic
IN02,-30.9445428,0.0000000338,Safe Republican
IN03,-30.79921044,0.0000000406,Safe Republican
IN04,-33.16823521,0.00000000186,Safe Republican
IN05,-16.92625018,0.0368109012,Safe Republican
IN06,-32.33888273,0.00000000561,Safe Republican
IN07,48.71723043,100,Safe Democratic
IN08,-34.52459128,0.000000000288,Safe Republican
IN09,-30.83858681,0.0000000387,Safe Republican
KS01,-33.39198983,0.00000000137,Safe Republican
KS02,-15.49570415,0.09993693256,Safe Republican
KS03,16.26969901,99.94122993,Safe Democratic
KS04,-23.98722874,0.0000859,Safe Republican
KY01,-49.88128083,0,Safe Republican
KY02,-43.29626627,0,Safe Republican
KY03,32.69907264,100,Safe Democratic
KY06,-20.94153132,0.001480012826,Safe Republican
LA01,-42.80241943,0,Safe Republican
MA02,39.59803812,100,Safe Democratic
MA03,35.06660952,100,Safe Democratic
MA09,25.27793906,100,Safe Democratic
MD01,-13.00927581,0.4735970657,Safe Republican
MD02,25.41027484,100,Safe Democratic
MD03,33.08208245,100,Safe Democratic
MD04,90.81426162,100,Safe Democratic
MD05,42.32003457,100,Safe Democratic
MD06,9.251663594,96.75862311,Safe Democratic
MD07,71.75173745,100,Safe Democratic
MD08,71.63336896,100,Safe Democratic
ME01,31.71488203,100,Safe Democratic
ME02,3.445324421,75.42364761,Likely Democratic
MI01,-23.25080549,0.0001766868757,Safe Republican
MI02,-32.62243167,0.00000000386,Safe Republican
MI03,18.09080875,99.98457049,Safe Democratic
MI04,-5.827359489,12.25787029,Likely Republican
MI05,-30.53530506,0.0000000565,Safe Republican
MI06,35.02832754,100,Safe Democratic
MI07,0.8241117639,56.53392645,Tossup
MI08,2.090473081,66.17516391,Lean Democratic
MI09,-33.94123395,0.000000000648,Safe Republican
MI10,-1.26500166,40.03168156,Tossup
MI11,27.52679766,100,Safe Democratic
MI12,52.52746669,100,Safe Democratic
MI13,54.91850669,100,Safe Democratic
MN01,-10.80192344,1.560812115,Safe Republican
MN02,11.06288507,98.63724207,Safe Democratic
MN03,26.17073922,100,Safe Democratic
MN04,42.83657047,100,Safe Democratic
MN05,64.35586866,100,Safe Democratic
MN06,-22.24486945,0.000457263873,Safe Republican
MN07,-40.22006957,0,Safe Republican
MN08,-14.95118822,0.1432688324,Safe Republican
MO01,65.12812308,100,Safe Democratic
MO02,-8.318539741,4.855525885,Safe Republican
MO03,-28.01502205,0.00000115,Safe Republican
MO04,-47.96393317,0,Safe Republican
MO05,31.65189826,100,Safe Democratic
MO06,-43.58673559,0,Safe Republican
MO07,-46.24398885,0,Safe Republican
MO08,-56.7228509,0,Safe Republican
MS01,-39.72787883,0,Safe Republican
MS02,29.28939784,100,Safe Democratic
MS04,-46.0554192,0,Safe Republican
MT01,-4.093026074,20.68531137,Likely Republican
MT02,-26.78121431,0.00000462,Safe Republican
NC01,3.58981353,76.31786461,Likely Democratic
NC02,44.05890581,100,Safe Democratic
NC04,53.57426204,100,Safe Democratic
NC05,-18.77628332,0.009030862994,Safe Republican
NC07,-14.54396601,0.186219921,Safe Republican
NC08,-19.05194997,0.007244522632,Safe Republican
NC09,-16.72719737,0.04249272833,Safe Republican
NC10,-18.46270488,0.01156376531,Safe Republican
NC11,-10.9501831,1.448576396,Safe Republican
NC12,55.89785179,100,Safe Democratic
NC13,-19.76395235,0.004045861864,Safe Republican
NC14,-16.78640451,0.04072299072,Safe Republican
ND00,-31.22621437,0.000000023,Safe Republican
NE01,-12.87746637,0.5086615936,Safe Republican
NE02,5.305701418,85.53841316,Likely Democratic
NE03,-60.55322595,0,Safe Republican
NH01,11.11673385,98.67746655,Safe Democratic
NH02,12.25437484,99.27870503,Safe Democratic
NJ01,31.43855177,100,Safe Democratic
NJ02,-11.62733013,1.019963222,Safe Republican
NJ03,14.74383207,99.83614179,Safe Democratic
NJ04,-27.67780905,0.0000017,Safe Republican
NJ05,19.04988899,99.99274345,Safe Democratic
NJ06,25.10174893,100,Safe Democratic
NJ07,1.780337008,63.88453224,Lean Democratic
NJ08,54.38637037,100,Safe Democratic
NJ09,15.51689602,99.90147607,Safe Democratic
NJ10,64.69835387,100,Safe Democratic
NJ11,26.84600754,100,Safe Democratic
NJ12,39.50701885,100,Safe Democratic
NM01,18.63115707,99.98986973,Safe Democratic
NM02,7.369517093,92.93742902,Likely Democratic
NM03,14.78265761,99.84019093,Safe Democratic
NV01,11.65603275,98.99545622,Safe Democratic
NV02,-13.17711671,0.4294336068,Safe Republican
NV03,11.25721543,98.76193804,Safe Democratic
NV04,9.783583355,97.45668512,Safe Democratic
NY01,-3.93059613,21.63651364,Likely Republican
NY02,-9.61533983,2.757730061,Safe Republican
NY03,14.35470428,99.79129057,Safe Democratic
NY04,6.689733251,90.91513327,Likely Democratic
NY05,64.0867468,100,Safe Democratic
NY06,34.67002097,100,Safe Democratic
NY07,65.48815826,100,Safe Democratic
NY08,57.12643679,100,Safe Democratic
NY09,65.95693929,100,Safe Democratic
NY10,79.08286722,100,Safe Democratic
NY11,-14.53146902,0.1877062608,Safe Republican
NY12,76.5462863,100,Safe Democratic
NY13,83.35669809,100,Safe Democratic
NY14,53.83125835,100,Safe Democratic
NY15,74.97043625,100,Safe Democratic
NY16,48.31331689,100,Safe Democratic
NY17,1.203815019,59.49883625,Tossup
NY18,12.83544127,99.4794824,Safe Democratic
NY19,4.214356868,79.98905057,Likely Democratic
NY20,25.00527309,100,Safe Democratic
NY21,-18.87425391,0.00835321577,Safe Republican
NY22,9.249865364,96.75601886,Safe Democratic
NY23,-24.10947005,0.0000761,Safe Republican
NY24,-26.57367891,0.0000058,Safe Republican
NY25,23.70563471,99.99988651,Safe Democratic
NY26,29.87871612,100,Safe Democratic
OH01,14.92537525,99.85430358,Safe Democratic
OH02,-50.59942297,0,Safe Republican
OH03,50.33009934,100,Safe Democratic
OH04,-37.46831647,0,Safe Republican
OH05,-34.52334006,0.000000000288,Safe Republican
OH06,-33.71411774,0.000000000885,Safe Republican
OH07,-11.22935141,1.256006711,Safe Republican
OH08,-25.5355177,0.0000176,Safe Republican
OH09,7.803475808,94.0299957,Likely Democratic
OH10,-13.80015103,0.2959245535,Safe Republican
OH11,61.64694102,100,Safe Democratic
OH12,-37.07213803,0,Safe Republican
OH13,7.955989932,94.38404583,Likely Democratic
OH14,-22.87738452,0.0002526185828,Safe Republican
OH15,-9.774683871,2.562172121,Safe Republican
OK01,-24.33789697,0.0000605,Safe Republican
OK02,-62.83330157,0,Safe Republican
OK04,-34.59153602,0.000000000262,Safe Republican
OK05,-18.54513898,0.01084000789,Safe Republican
OR01,45.19726879,100,Safe Democratic
OR02,-30.86987889,0.0000000372,Safe Republican
OR03,51.15308066,100,Safe Democratic
OR04,15.93894344,99.92606156,Safe Democratic
OR05,5.364303754,85.76547061,Likely Democratic
OR06,13.7090979,99.68890213,Safe Democratic
PA01,-4.588601249,17.98509322,Likely Republican
PA02,50.41849188,100,Safe Democratic
PA04,26.4702479,100,Safe Democratic
PA05,37.70640114,100,Safe Democratic
PA06,21.496202,99.99909507,Safe Democratic
PA07,5.139637537,84.75367667,Likely Democratic
PA08,3.641926707,76.63255152,Likely Democratic
PA09,-41.12430396,0,Safe Republican
PA10,0.3489447537,52.77672336,Tossup
PA11,-24.02378822,0.0000829,Safe Republican
PA12,21.65099751,99.9992128,Safe Democratic
PA13,-53.39937004,0,Safe Republican
PA14,-41.10302965,0,Safe Republican
PA15,-43.38312709,0,Safe Republican
PA16,-21.95942101,0.00059469089,Safe Republican
PA17,8.555354257,95.61332156,Safe Democratic
RI01,34.55219466,100,Safe Democratic
RI02,16.68538738,99.95658745,Safe Democratic
SC01,-6.969646306,8.226342712,Likely Republican
SC02,-12.02758923,0.8225603069,Safe Republican
SC03,-40.6768538,0,Safe Republican
SC04,-25.22782138,0.0000243,Safe Republican
SC05,-22.06195215,0.0005413199846,Safe Republican
SC06,34.09263743,100,Safe Democratic
SC07,-26.84092258,0.00000432,Safe Republican
SD00,-25.14899072,0.0000259,Safe Republican
TN01,-58.5147423,0,Safe Republican
TN02,-30.82023968,0.0000000396,Safe Republican
TN03,-34.79070472,0.000000000198,Safe Republican
TN04,-42.31236037,0,Safe Republican
TN05,-12.46191324,0.6470861607,Safe Republican
TN06,-30.50947094,0.0000000583,Safe Republican
TN07,-17.05820978,0.03344225301,Safe Republican
TN08,-45.09136145,0,Safe Republican
TN09,53.89549854,100,Safe Democratic
TX02,-22.73728168,0.0002884824021,Safe Republican
TX03,-14.87625648,0.1504197789,Safe Republican
TX04,-27.33446629,0.0000025,Safe Republican
TX05,-22.85748323,0.0002574392693,Safe Republican
TX06,-30.17174163,0.0000000886,Safe Republican
TX07,36.26101823,100,Safe Democratic
TX08,-31.13862779,0.0000000265,Safe Republican
TX09,61.20712458,100,Safe Democratic
TX10,-20.43436432,0.002297040729,Safe Republican
TX12,-18.78798509,0.008947287044,Safe Republican
TX14,-35.57384377,0,Safe Republican
TX15,-8.085910215,5.341232818,Likely Republican
TX16,38.61322767,100,Safe Democratic
TX17,-25.12083182,0.0000272,Safe Republican
TX18,53.17673147,100,Safe Democratic
TX21,-17.88559039,0.01805100285,Safe Republican
TX22,-15.32230855,0.1122161903,Safe Republican
TX23,-10.85925561,1.516555305,Safe Republican
TX24,-8.494416573,4.512289825,Safe Republican
TX26,-16.9152077,0.03710663035,Safe Republican
TX27,-23.43464883,0.0001478815185,Safe Republican
TX28,14.85999057,99.84798553,Safe Democratic
TX29,45.14955107,100,Safe Democratic
TX31,-24.03351644,0.0000821,Safe Republican
TX32,34.65621622,100,Safe Democratic
TX33,56.01579065,100,Safe Democratic
TX34,11.66694424,99.00616206,Safe Democratic
TX35,55.36583467,100,Safe Democratic
TX36,-35.2842906,0,Safe Republican
TX37,64.79077927,100,Safe Democratic
TX38,-18.25061746,0.01363974851,Safe Republican
UT01,-26.85547587,0.00000417,Safe Republican
UT02,-19.68997942,0.004302134094,Safe Republican
UT03,-19.33705675,0.005750441153,Safe Republican
UT04,-26.86368523,0.00000414,Safe Republican
VA01,-7.389311462,7.028071989,Likely Republican
VA02,-1.168956799,40.77397365,Tossup
VA03,43.77926317,100,Safe Democratic
VA04,40.99550313,100,Safe Democratic
VA05,-11.25715703,1.238099335,Safe Republican
VA06,-27.24700346,0.00000275,Safe Republican
VA07,9.1164968,96.56013934,Safe Democratic
VA08,61.28459672,100,Safe Democratic
VA09,-49.25185669,0,Safe Republican
VA10,21.76767303,99.99929174,Safe Democratic
VA11,47.21346766,100,Safe Democratic
VT00,41.79551137,100,Safe Democratic
WA01,29.77915388,100,Safe Democratic
WA02,26.93657836,100,Safe Democratic
WA03,-0.316139927,47.48633215,Tossup
WA05,-13.49700801,0.3553320714,Safe Republican
WA06,22.94475305,99.99976307,Safe Democratic
WA07,73.75476861,100,Safe Democratic
WA08,12.02991686,99.17848183,Safe Democratic
WA10,22.4897637,99.99963593,Safe Democratic
WI01,-6.25646201,10.58852589,Likely Republican
WI02,47.95036994,100,Safe Democratic
WI03,-4.936987419,16.21954291,Likely Republican
WI04,59.48271,100,Safe Democratic
WI05,-27.09105091,0.00000328,Safe Republican
WI06,-23.11103729,0.0002021103865,Safe Republican
WI07,-25.0333778,0.0000298,Safe Republican
WI08,-17.39175719,0.02616247641,Safe Republican
WV01,-40.9600782,0,Safe Republican
WV02,-38.77976213,0,Safe Republican
WY00,-45.22862609,0,Safe Republican
AL03,-100,0,Safe Republican
AL04,-100,0,Safe Republican
AL05,-100,0,Safe Republican
CA12,100,100,Safe Democratic
CA16,100,100,Safe Democratic
CA20,-100,0,Safe Republican
CA34,100,100,Safe Democratic
FL02,-100,0,Safe Republican
FL03,-100,0,Safe Republican
FL04,-100,0,Safe Republican
FL05,-100,0,Safe Republican
FL06,-100,0,Safe Republican
FL12,-100,0,Safe Republican
FL18,-100,0,Safe Republican
FL20,100,100,Safe Democratic
FL24,100,100,Safe Democratic
FL26,-100,0,Safe Republican
IL15,-100,0,Safe Republican
IL16,-100,0,Safe Republican
KY04,-100,0,Safe Republican
KY05,-100,0,Safe Republican
LA02,100,100,Safe Democratic
LA03,-100,0,Safe Republican
LA04,-100,0,Safe Republican
LA05,-100,0,Safe Republican
LA06,100,100,Safe Democratic
MA01,100,100,Safe Democratic
MA04,100,100,Safe Democratic
MA05,100,100,Safe Democratic
MA06,100,100,Safe Democratic
MA07,100,100,Safe Democratic
MA08,100,100,Safe Democratic
MS03,-100,0,Safe Republican
NC03,-100,0,Safe Republican
NC06,-100,0,Safe Republican
OK03,-100,0,Safe Republican
PA03,100,100,Safe Democratic
TX01,-100,0,Safe Republican
TX11,-100,0,Safe Republican
TX13,-100,0,Safe Republican
TX19,-100,0,Safe Republican
TX20,100,100,Safe Democratic
TX25,-100,0,Safe Republican
TX30,100,100,Safe Democratic
WA04,-100,0,Safe Republican
WA09,100,100,Safe Democratic